flatNo,configuration,occupied,carpetArea,Salable are,inc,flatNo1,,,,,,,
601,3 BHK,Sold,756,1247.4,24948000,601,,,,,,,
602,2 BHK,Sold,607,1001.55,20031000,602,,,,,,,
603,3 BHK,Unsold,975,1608.75,32175000,603,,,,,,,
604,3 BHK,Sold,975,1608.75,32175000,604,,,,,,,
605,3 BHK,Unsold,1391,2295.15,45903000,605,,,,,,,
606,3 BHK,Unsold,1391,2295.15,45903000,606,,,,,,,
607,3 BHK,Sold,975,1608.75,32175000,607,,,,,,,
608,3 BHK,Unsold,975,1608.75,32175000,608,,,,,,,
609,2 BHK,Unsold,607,1001.55,20031000,609,,,,,,,
610,3 BHK,Sold,756,1247.4,24948000,610,,,,,,,
701,3 BHK,Sold,756,1247.4,25010370,701,,,,,,,
702,2 BHK,Sold,607,1001.55,20081077.5,702,,,,,,,
703,3 BHK,Sold,975,1608.75,32255437.5,703,,,,,,,
704,3 BHK,Sold,975,1608.75,32255437.5,704,,,,,,,
705,3 BHK,Unsold,1391,2295.15,46017757.5,705,,,,,,,
706,3 BHK,Unsold,1391,2295.15,46017757.5,706,,,,,,,
707,3 BHK,Sold,975,1608.75,32255437.5,707,,,,,,,
708,3 BHK,Sold,975,1608.75,32255437.5,708,,,,,,,
709,2 BHK,Unsold,607,1001.55,20081077.5,709,,,,,,,
710,3 BHK,Sold,756,1247.4,25010370,710,,,,,,,
801,3 BHK,Sold,756,1247.4,25072740,801,,,,,,,
802,2 BHK,Sold,607,1001.55,20131155,802,,,,,,,
803,3 BHK,Sold,975,1608.75,32335875,803,,,,,,,
804,3 BHK,Sold,975,1608.75,32335875,804,,,,,,,
805,3 BHK,Unsold,1391,2295.15,46132515,805,,,,,,,
806,3 BHK,Unsold,1391,2295.15,46132515,806,,,,,,,
807,3 BHK,Sold,975,1608.75,32335875,807,,,,,,,
808,3 BHK,Unsold,975,1608.75,32335875,808,,,,,,,
809,2 BHK,Unsold,607,1001.55,20131155,809,,,,,,,
810,3 BHK,Sold,756,1247.4,25072740,810,,,,,,,
